trade_date,open,high,low,close,vol
20240719,10.38,10.42,10.29,10.37,898723.24
20240718,10.38,10.43,10.3,10.41,1087061.02
20240717,10.3,10.42,10.28,10.4,1220168.35
20240716,10.33,10.37,10.24,10.3,943008.11
20240715,10.31,10.35,10.26,10.33,869412.47
20240712,10.12,10.31,10.12,10.31,1214163.69
20240711,10.21,10.23,10.07,10.13,721392.25
20240710,10.07,10.2,10.05,10.14,873865.11
20240709,9.94,10.1,9.91,10.07,1032485.3
20240708,9.94,10.02,9.85,9.93,868659.62
20240705,10.26,10.29,9.92,9.97,1713353.86
20240704,10.3,10.38,10.25,10.26,735044.24
20240703,10.4,10.43,10.29,10.31,713067.46
20240702,10.3,10.48,10.28,10.4,1384385.7
20240701,10.09,10.35,10.04,10.35,1343051.49
20240628,10.1,10.26,10.09,10.15,918089.92
20240627,10.06,10.21,10.0,10.13,928881.97
20240626,10.06,10.13,10.02,10.08,628598.71
20240625,9.99,10.13,9.98,10.08,769992.81
20240624,9.97,10.07,9.88,9.98,947081.54
20240621,10.05,10.09,9.95,10.0,830545.28
20240620,10.16,10.17,10.05,10.05,629627.57
20240619,10.1,10.21,10.08,10.15,796184.18
20240618,10.11,10.16,10.04,10.08,700653.08
20240617,10.13,10.16,10.08,10.1,681217.02
20240614,10.15,10.23,9.99,10.18,1637990.47
20240613,10.89,10.93,10.8,10.8,1203507.79
20240612,10.85,10.91,10.78,10.88,957426.35
20240611,10.98,11.02,10.79,10.87,1337628.54
20240607,10.92,11.01,10.89,10.99,1170126.04
20240606,10.9,10.98,10.88,10.9,1049331.53
20240605,11.04,11.07,10.87,10.87,1018967.75
20240604,10.95,11.05,10.91,11.02,981004.95
20240603,11.12,11.13,10.91,10.98,1326696.75
20240531,11.14,11.19,11.11,11.11,826706.76
20240530,11.24,11.34,11.06,11.12,1325496.35
20240529,11.38,11.45,11.23,11.26,1444811.11
20240528,11.5,11.58,11.36,11.4,1204322.85
20240527,11.31,11.53,11.31,11.51,1454361.43
20240524,11.37,11.49,11.3,11.31,1398275.84
20240523,11.53,11.59,11.37,11.4,1841622.9
20240522,11.56,11.74,11.46,11.56,2115531.38
20240521,11.32,11.62,11.31,11.55,2030049.41
20240520,11.43,11.53,11.31,11.38,2170210.3
20240517,11.18,11.42,11.13,11.42,2841748.85
20240516,10.85,11.21,10.83,11.17,3076291.65
20240515,10.9,10.92,10.81,10.83,868296.6
20240514,11.0,11.06,10.88,10.91,1075783.91
20240513,10.9,11.01,10.81,10.97,1402498.6
20240510,10.77,10.96,10.76,10.94,1767835.61
20240509,10.71,10.82,10.71,10.76,1069460.63
20240508,10.84,10.88,10.71,10.73,1221791.27
20240507,10.87,10.89,10.76,10.88,1087056.65
20240506,10.96,11.11,10.84,10.89,1784100.57
20240430,10.8,10.88,10.73,10.79,1324556.53
20240429,10.56,10.9,10.52,10.81,2169177.37
20240426,10.59,10.67,10.48,10.6,1607627.51
20240425,10.5,10.62,10.48,10.61,1113812.24
20240424,10.52,10.57,10.46,10.53,941567.74
20240423,10.51,10.65,10.46,10.54,1240027.0
20240422,10.64,10.81,10.45,10.5,2009818.37
20240419,10.71,10.82,10.66,10.69,1457675.02
